iter	Passed	Remaining
685	1849	846
686	1853	844
687	1855	841
688	1858	838
689	1860	835
690	1863	833
691	1866	830
692	1869	828
693	1872	825
694	1874	822
695	1877	820
696	1880	817
697	1882	814
698	1886	812
699	1888	809
700	1891	806
701	1893	803
702	1896	801
703	1899	798
704	1902	795
705	1905	793
706	1907	790
707	1910	788
708	1913	785
709	1916	782
710	1919	780
711	1922	777
712	1925	774
713	1927	772
714	1930	769
715	1932	766
716	1935	763
717	1937	761
718	1939	758
719	1942	755
720	1945	752
721	1948	750
722	1950	747
723	1953	744
724	1955	741
725	1958	739
726	1961	736
727	1964	733
728	1966	730
729	1969	728
730	1971	725
731	1974	722
732	1977	720
733	1980	717
734	1982	714
735	1985	712
736	1988	709
737	1991	707
738	1994	704
739	1996	701
740	1998	698
741	2001	695
742	2004	693
743	2007	690
744	2010	688
745	2013	685
746	2016	682
747	2019	680
748	2023	677
749	2025	675
750	2028	672
751	2030	669
752	2032	666
753	2035	664
754	2037	661
755	2039	658
756	2042	655
757	2044	652
758	2046	649
759	2049	647
760	2052	644
761	2054	641
762	2057	639
763	2059	636
764	2061	633
765	2064	630
766	2067	628
767	2070	625
768	2073	622
769	2075	619
770	2078	617
771	2080	614
772	2084	612
773	2087	609
774	2090	606
775	2093	604
776	2095	601
777	2098	598
778	2101	596
779	2104	593
780	2106	590
781	2109	588
782	2112	585
783	2115	582
784	2119	580
785	2122	577
786	2124	575
787	2127	572
788	2129	569
789	2132	566
790	2135	564
791	2137	561
792	2139	558
793	2142	555
794	2144	553
795	2147	550
796	2150	547
797	2152	544
798	2155	542
799	2157	539
800	2160	536
801	2163	534
802	2165	531
803	2168	528
804	2170	525
805	2173	523
806	2176	520
807	2179	517
808	2181	515
809	2184	512
810	2187	509
811	2189	507
812	2192	504
813	2196	501
814	2198	499
815	2201	496
816	2203	493
817	2206	490
818	2209	488
819	2212	485
820	2214	482
821	2217	480
822	2220	477
823	2223	474
824	2226	472
825	2228	469
826	2231	466
827	2233	464
828	2236	461
829	2238	458
830	2241	455
831	2244	453
832	2246	450
833	2249	447
834	2252	445
835	2255	442
836	2258	439
837	2260	437
838	2263	434
839	2266	431
840	2269	429
841	2272	426
842	2274	423
843	2277	421
844	2280	418
845	2283	415
846	2286	413
847	2289	410
848	2292	407
849	2294	404
850	2297	402
851	2300	399
852	2302	396
853	2305	394
854	2307	391
855	2309	388
856	2312	385
857	2315	383
858	2317	380
859	2319	377
860	2322	374
861	2324	372
862	2326	369
863	2329	366
864	2332	363
865	2334	361
866	2337	358
867	2339	355
868	2342	353
869	2345	350
870	2347	347
871	2350	345
872	2352	342
873	2355	339
874	2357	336
875	2360	334
876	2363	331
877	2365	328
878	2369	326
879	2372	323
880	2374	320
881	2377	318
882	2380	315
883	2383	312
884	2385	310
885	2388	307
886	2391	304
887	2395	302
888	2397	299
889	2400	296
890	2402	293
891	2404	291
892	2407	288
893	2410	285
894	2413	283
895	2416	280
896	2418	277
897	2421	275
898	2424	272
899	2426	269
900	2429	266
901	2431	264
902	2434	261
903	2436	258
904	2439	256
905	2442	253
906	2445	250
907	2447	248
908	2450	245
909	2453	242
910	2456	239
911	2459	237
912	2461	234
913	2464	231
914	2467	229
915	2470	226
916	2473	223
917	2476	221
918	2478	218
919	2480	215
920	2483	213
921	2486	210
922	2488	207
923	2491	204
924	2493	202
925	2495	199
926	2498	196
927	2501	194
928	2503	191
929	2506	188
930	2508	185
931	2510	183
932	2513	180
933	2515	177
934	2518	175
935	2520	172
936	2523	169
937	2525	166
938	2527	164
939	2529	161
940	2532	158
941	2534	156
942	2537	153
943	2539	150
944	2541	147
945	2544	145
946	2547	142
947	2549	139
948	2552	137
949	2554	134
950	2557	131
951	2559	129
952	2562	126
953	2565	123
954	2567	121
955	2571	118
956	2573	115
957	2576	112
958	2578	110
959	2581	107
960	2584	104
961	2586	102
962	2589	99
963	2591	96
964	2594	94
965	2597	91
966	2599	88
967	2602	86
968	2604	83
969	2607	80
970	2610	77
971	2612	75
972	2615	72
973	2617	69
974	2619	67
975	2621	64
976	2624	61
977	2627	59
978	2630	56
979	2632	53
980	2634	51
981	2637	48
982	2640	45
983	2643	42
984	2646	40
985	2649	37
986	2652	34
987	2655	32
988	2658	29
989	2660	26
990	2663	24
991	2665	21
992	2668	18
993	2670	16
994	2673	13
995	2676	10
996	2678	8
997	2680	5
998	2683	2
999	2685	0
